reference,value,footprint,x_mm,y_mm,rotation_deg
C12,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x104eae8f0> >,114.0,101.0,90.0
C13,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x10539ddf0> >,114.0,98.0,90.0
C14,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1053ae130> >,127.0,101.0,90.0
C15,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052aca30> >,134.0,97.0,90.0
C16,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,139.0,74.0,90.0
C17,220n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,131.0,75.0,90.0
C18,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,96.0,105.0,0.0
C19,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052aca30> >,124.0,94.0,90.0
C20,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,125.0,108.0,90.0
C21,10u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,133.0,106.0,0.0
C22,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,139.0,77.0,90.0
C23,10u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,81.0,122.0,90.0
C24,10u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,92.0,122.0,90.0
C42,2u2,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,106.0,101.4,90.0
C43,2u2,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,112.0,84.0,90.0
